Company_Name,Rating,Industry_Type,Locations,AvgSalaries,Total_Interviews,Total_Jobs,Total_Reviews
Bajaj Auto,3.9,Automobile,Pune +275 other locations,13400,269,191,3400
Randstad,3.8,Recruitment,Hyderabad / Secunderabad +287 other locations,14800,258,84,3400
EY Global Delivery Services ( EY GDS),3.6,Accounting & Auditing,Bangalore / Bengaluru +42 other locations,31500,734,6,3400
L&T Finance,3.9,NBFC,Mumbai +510 other locations,11000,150,10,3400
Deutsche Bank,3.9,Banking,Pune +39 other locations,30800,365,753,3300
Intas Pharmaceuticals,4.1,Pharma,Ahmedabad +129 other locations,15700,199,21,3300
Tata Communications,4,Telecom,Pune +94 other locations,22900,245,37,3300
John Deere,4.1,Industrial Machinery,Pune +123 other locations,14600,225,4,3300
Team Lease,3.9,Recruitment,Bangalore / Bengaluru +338 other locations,15300,199,1,3300
R1 RCM,3.9,BPO,New Delhi +37 other locations,18400,274,84,3300
Royal Enfield,4.2,Automobile,Chennai +331 other locations,13500,149,11,3300
Kogta Financial India Limited,4.7,NBFC,Jaipur +231 other locations,1600,82,30,3200
LG Electronics,4,Consumer Electronics & Appliances,Pune +269 other locations,10400,190,14.5,3200
Havells,4,Electrical Equipment,Noida +203 other locations,13200,204,30,3200
Thermax Limited,4.2,Industrial Machinery,Pune +198 other locations,12100,239,42,3200
Macleods Pharmaceuticals,3.6,Pharma,Mumbai +112 other locations,14700,197,2,3200
Access Healthcare,3.9,Analytics & KPO,Chennai +39 other locations,21200,202,70,3200
HDFC Ergo General Insurance,4,Insurance,Mumbai +275 other locations,11700,145,2,3200
Aakash Educational Services,3.5,Education & Training,New Delhi +221 other locations,12200,306,71,3200
Hetero,3.9,Pharma,Hyderabad / Secunderabad +53 other locations,14000,198,28,3100
Tata AIA Life Insurance,4,Insurance,Mumbai +368 other locations,12700,166,1100,3100
Publicis Sapient,3.5,IT Services & Consulting,Bangalore / Bengaluru +34 other locations,26800,609,123,3100
Cummins,4.3,Industrial Machinery,Pune +94 other locations,15000,230,131,3100
PVR Inox,4,Media & Entertainment,New Delhi +140 other locations,9500,158,26,3100
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances,Mumbai +136 other locations,15300,173,14,3100
VE Commercial Vehicles,4,Automobile,Indore +138 other locations,12800,210,9,3100
Utkarsh Small Finance Bank,3.8,Banking,Varanasi +334 other locations,9700,211,37,3100
DCB Bank,3.8,Banking,Mumbai +316 other locations,9200,174,249,3100
Samvardhana Motherson Group,3.8,Auto Components,Noida +81 other locations,12600,213,5,3100
Viatris,4.2,Pharma,Hyderabad / Secunderabad +74 other locations,13900,133,2,3000
Future Group,4.3,Retail,Mumbai +203 other locations,9700,76,22,3000
Subros,3.9,Auto Components,Noida +65 other locations,12200,164,5,3000
Pidilite Industries,4.3,Chemicals,Mumbai +261 other locations,10500,197,11,3000
Berger Paints,3.7,Chemicals,Kolkata +280 other locations,8900,256,55,3000
American Express,4.2,Financial Services,Gurgaon / Gurugram +42 other locations,21100,360,192,3000
Automatic Data Processing (ADP),4,Software Product,Hyderabad / Secunderabad +32 other locations,20100,229,33,3000
Indian Oil Corporation,4.4,Oil & Gas,New Delhi +280 other locations,7700,236,17.5,3000
Abbott,4.1,Pharma,Mumbai +185 other locations,10900,145,228,3000
Square Yards,4,Internet,Gurgaon / Gurugram +46 other locations,8400,197,15,3000
Alembic Pharmaceuticals,4,Pharma,Vadodara +160 other locations,13900,199,59,3000
Sodexo,4.1,Facility Management Services,Mumbai +142 other locations,9600,159,128,3000
Carelon Global Solutions,4,Software Product,Bangalore / Bengaluru +19 other locations,24300,354,22,3000
Bharat Electronics,4.2,Electronics Manufacturing,Bangalore / Bengaluru +64 other locations,11900,211,54.5,3000
Lenskart,3.2,Internet,New Delhi +194 other locations,11000,296,159,2900
Bank of America,4.3,Banking,Gurgaon / Gurugram +30 other locations,24700,235,66,2900
Hindalco Industries,4.2,Metals & Mining,Sambalpur +101 other locations,10400,208,26,2900
Reliance Projects & Property Management Services,4,IT Services & Consulting,Kolkata +553 other locations,5300,171,69,2900
Dabur,4,FMCG,New Delhi +280 other locations,8200,265,29,2900
Whitehat jr,3.5,EdTech,Mumbai +50 other locations,9500,311,19,2900
RBL Bank,3.6,Banking,Mumbai +246 other locations,17000,169,70,2900
Jindal Steel and Power,3.9,Iron & Steel,Angul +142 other locations,13700,304,21,2900
Jubilant Foods Works,3.7,Hospitality,New Delhi +215 other locations,8100,165,53,2900
Cogent E Services,3.3,IT Services & Consulting,Noida +44 other locations,9400,231,69,2800
Maersk,4.2,Logistics,Pune +41 other locations,16900,201,137,2800
Escorts Kubota Limited,4.1,Automobile,Faridabad +139 other locations,11800,217,4,2800
Johnson Controls,3.6,Industrial Automation,Pune +50 other locations,16000,255,143,2800
Ford Motor,4.4,Automobile,Chennai +117 other locations,14300,143,10.5,2800
Birlasoft,3.6,IT Services & Consulting,Pune +40 other locations,28400,287,56,2800
Alkem Laboratories,3.9,Pharma,Mumbai +173 other locations,9200,146,19,2800
Synechron,3.6,IT Services & Consulting,Pune +29 other locations,26800,358,9,2800
Glenmark Pharmaceuticals,3.9,Pharma,Mumbai +148 other locations,11200,130,84,2800
Reliance Digital,4.1,Retail,Mumbai +334 other locations,7900,113,22,2800
Vishal Mega Mart,3.8,Retail,New Delhi +330 other locations,6600,156,20,2800
Ipca Laboratories,4,Pharma,Mumbai +140 other locations,11000,150,30,2800
Indian Air Force,4.6,Defence & Aerospace,New Delhi +125 other locations,5200,51,130,2800
Aarti Industries,4.2,Agro Chemicals,Bharuch +48 other locations,13600,282,41,2800
24/7 Customer,3.5,Software Product,Bangalore / Bengaluru +32 other locations,13300,175,30,2800
PNB MetLife,3.4,Insurance,New Delhi +364 other locations,8000,152,348,2800
NTT Data Information Processing Services,4,IT Services & Consulting,Bangalore / Bengaluru +32 other locations,27000,114,54,2700
Kotak Mahindara Life Insurance,3.8,Insurance,Mumbai +228 other locations,11600,217,107,2700
UBS,4,Financial Services,Pune +18 other locations,28200,337,22,2700
Honda Motorcycle & Scooter,4.1,Automobile,Gurgaon / Gurugram +248 other locations,11000,149,10.5,2700
JK Cement,4.1,Building Material,New Delhi +270 other locations,8600,245,2,2700
DTDC Express,3.8,Logistics,New Delhi +242 other locations,8300,149,37,2700
Hindustan Coca Cola Beverages,4.2,Beverage,Bangalore / Bengaluru +232 other locations,7200,124,33,2700
MRF Tyres,3.7,Auto Components,Chennai +174 other locations,11500,294,29,2700
KPIT Technologies,3.4,Software Product,Pune +35 other locations,20600,294,100,2700
HARMAN,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru +32 other locations,23300,257,250,2700
Kyndryl,4,IT Services & Consulting,Bangalore / Bengaluru +29 other locations,20700,163,15,2700
Paras Hospital,4.5,Healthcare,Patna +53 other locations,3000,79,29,2700
State Street Corporation,3.8,Financial Services,Bangalore / Bengaluru +27 other locations,25900,219,12,2700
Reliance Nippon Life Insurance,3.7,Insurance,Mumbai +450 other locations,8300,129,3,2700
IGT Solutions,3.3,IT Services & Consulting,New Delhi +42 other locations,12200,207,97,2600
Ceat Tyres,4,Auto Components,Nagpur +123 other locations,12200,156,5,2600
NatWest Group,4,Banking,Gurgaon / Gurugram +22 other locations,19300,198,68,2600
Conduent,3.5,BPO,Bangalore / Bengaluru +28 other locations,17600,191,119,2600
ABB,4.1,Industrial Automation,Bangalore / Bengaluru +96 other locations,15300,228,436,2600
UnitedHealth,4,Healthcare,Hyderabad / Secunderabad +15 other locations,17900,83,41,2600
InterGlobe Aviation,3.6,Aviation,New Delhi +92 other locations,12700,369,33,2600
GeBBS Healthcare Solutions,3.7,Healthcare,Mumbai +20 other locations,11000,139,24,2600
Motilal Oswal Financial Services,3.7,Financial Services,Mumbai +142 other locations,10400,230,68,2600
Aditya Birla Sun Life Insurance,4.1,Insurance,Mumbai +400 other locations,8700,132,41,2600
TVS Credit,4.4,NBFC,Chennai +350 other locations,6400,99,16,2600
CMS IT Services,3.1,IT Services & Consulting,Mumbai +144 other locations,10100,130,7,2600
RSPL Group,4.1,FMCG,Kanpur +215 other locations,9000,185,38,2500
Alstom Transportation,3.7,Engineering & Construction,Bangalore / Bengaluru +68 other locations,12400,232,55,2500
ArcelorMittal Nippon Steel,4.1,Iron & Steel,Surat +74 other locations,9900,213,5,2500
Max Healthcare,4.1,Healthcare,New Delhi +65 other locations,9500,132,98,2500
Grasim Industries,4,Building Material,Bharuch +166 other locations,10600,205,12,2500
Tata AIG,4.1,Insurance,Mumbai +238 other locations,10400,153,124,2500
PepsiCo,4.1,Food Processing,Hyderabad / Secunderabad +241 other locations,11000,197,259,2500
S&P Global,4.2,Analytics & KPO,Hyderabad / Secunderabad +40 other locations,17700,271,14,2500
Tata Capital,4.1,NBFC,Mumbai +249 other locations,9200,134,757,2500
Sahrudaya Healthcare (Medicover Hospitals),4.6,Healthcare,Hyderabad / Secunderabad +40 other locations,3000,122,52,2500
ACC,3.9,Building Material,Mumbai +235 other locations,9300,184,2,2500
Titan Company,4.3,Retail,Bangalore / Bengaluru +154 other locations,8600,146,84,2500
